,cumulative_pv,cumulative_load,cumulative_grid_import,cumulative_grid_export,net_grid
66,150254.025,118107.42015155058,14077.989706355951,15208.468310718961,1130.4786043630102
67,150272.625,119939.71832995361,14077.989706355951,15208.468310718961,1130.4786043630102
68,150291.225,121756.63790555269,14077.989706355951,15208.468310718961,1130.4786043630102
69,150309.825,123574.97065005808,14077.989706355951,15208.468310718961,1130.4786043630102
70,150328.42500000002,125396.04660479336,14077.989706355951,15208.468310718961,1130.4786043630102
71,150347.02500000002,127220.28140767216,14077.989706355951,15208.468310718961,1130.4786043630102
72,150365.62500000003,129043.10304164464,14077.989706355951,15208.468310718961,1130.4786043630102
73,150384.22500000003,130858.27693800651,14077.989706355951,15208.468310718961,1130.4786043630102
74,150402.82500000004,132660.89856937705,14077.989706355951,15208.468310718961,1130.4786043630102
75,150421.42500000005,134461.77452151038,14077.989706355951,15208.468310718961,1130.4786043630102
